,description_x
1502,"After returning from a dangerous tour of duty, an Army doctor finds that working the night shift at a San Antonio hospital can be treacherous, too."
1503,"A young woman eager to avoid an arranged marriage moves to Mumbai, where she learns hard truths about show business, life and love."
1505,"When Harper is sent to Spain for an important work meeting, her hard-partying friends tag along and convince her to pursue a fling with a famous DJ."
1506,"When Harper is sent to Spain for an important work meeting, her hard-partying friends tag along and convince her to pursue a fling with a famous DJ."
1507,"Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author."
1508,"Inspector Gadget is back and must face his old enemy, the evil Dr. Claw, who has reactivated MAD, his global crime syndicate."
1509,"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs."
1512,"A former addict moves to a new city with her children for a fresh start, but her struggle soon takes on an unexpected, supernatural dimension."
1513,"Talented pooches from around the world compete to be the next Pup Star, but behind-the-scenes schemes threaten to ruin the fun."
1514,"In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records."
1515,"Facing an inevitable outcome, terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death."
1516,"Facing an inevitable outcome, terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death."
1517,"When a 17-year-old learns the TV news host she pines for is engaged, she and her best friend launch an elaborate plan to prevent his marriage."
1518,A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.
1519,Four cops escorting a mobster to a high-security prison fight for survival when a gang boss orchestrates a riot from outside to silence their charge.
1520,Four cops escorting a mobster to a high-security prison fight for survival when a gang boss orchestrates a riot from outside to silence their charge.
1523,"To bring down a global human trafficking ring, an Interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza."
1526,"A newcomer ekes out a living in LA as a professional audience member on infomercials, but life gets complicated when he's thrust into the spotlight."
1529,Four best friends navigate loss and major life changes – and smoke a lot of weed – during their last two weeks of high school.
1531,"In the wake of an extraterrestrial invasion, a suspended L.A. cop teams up with survivors to stop the onslaught and rescue human captives."
1533,"After he's recruited to an elite prep school, a 14-year-old basketball phenom is confronted by corruption and greed in amateur sports."
1536,"A former medical student battles for survival against an evil human-zombie hybrid determined to destroy her, in this reimagining of the 1985 classic."
1540,Four friends become overnight millionaires after selling their video game start-up. But their newfound status tests their friendship and resolve.
1541,Four friends become overnight millionaires after selling their video game start-up. But their newfound status tests their friendship and resolve.
1542,Four friends become overnight millionaires after selling their video game start-up. But their newfound status tests their friendship and resolve.
1550,"Following a devastating alien invasion, an American soldier and a French foreign aid worker attempt to find refuge in the Kenyan countryside."
1551,Groundbreaking artists share their life stories in this vibrant documentary series that captures hip-hop's impact on global culture.
1552,"On a bleak future Earth, a soldier endures a radical genetic transformation to save humanity. But his wife fears he's becoming more creature than man."
1557,Three buddies with big dreams go from underachieving slackers to badass warriors when their posh hotel is taken over by terrorists.
1559,Neil Young and his band of outlaws sow seeds of strange mischief and musical wonder under Western skies in this dreamlike film by Daryl Hannah.
1561,Neil Young and his band of outlaws sow seeds of strange mischief and musical wonder under Western skies in this dreamlike film by Daryl Hannah.
1562,Neil Young and his band of outlaws sow seeds of strange mischief and musical wonder under Western skies in this dreamlike film by Daryl Hannah.
1574,"An American soldier imprisoned in postwar Japan enters the dark world of the yakuza, adopting their way of life in repayment for his freedom."
1575,"After a daring heist, three fugitives lock themselves in a warehouse hoping to evade the police, but find a worse threat as they fight to stay alive."
1576,"A team of mercenaries working with the CIA accepts an off-the-books mission in Chernobyl, where deadly human-controlled droids prepare an ambush."
1582,"Separated at birth, twins Raja and Prem couldn't be more different. But when fate puts them both in London, they start being mistaken for each other."
1583,"After enrolling in a college poetry course, a struggling rapper finds inspiration for her new voice through slam poetry."
1585,"""Trailer Park Boys"" John Paul Tremblay, Robb Wells and Mike Smith host this foulmouthed live kick-off of their Web-based Swearnet network."
1590,"In 1991 Madrid, after holding a séance at school, a teen girl minding her younger siblings at home suspects an evil force has entered their apartment."
1592,The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city.
1593,"When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words."
1595,"Four friends with a long-standing – but strained – connection take a hiking trip into the Swedish wilderness, from which they may never return."
1596,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
1600,"With her Harvard Law dreams on the line, a black sorority leader agrees to help a rhythmically challenged sisterhood win a step dance championship."
1601,"Following a tragedy, a mother and her teen son move to a relative's vacant vacation home, where eerie and unexplained forces conspire against them."
1604,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else."
1609,"In this Hindi version of ""Aval,"" a young couple's relationship is shaken to its core when a mysterious and troubled family moves into the neighborhood."
1612,"In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners."
1613,"In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners."
1614,"In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners."
1615,"Four preschool moms with little in common need a night out to take a break from their kids. But one thing leads to another, and things get rowdy."
1616,"Injury and family push hockey player Doug Glatt into retirement, but his plans change when his beloved former team appoints his nemesis as captain."
1624,"A man's drunken romp in a gorilla suit gets him mistaken for Bigfoot, drawing media attention and tourist dollars to his struggling small town."
1626,"Stuck in a liquor store during an alleged robbery, a group of strangers shares hidden truths and forms an unexpected bond on Christmas Eve."
1628,"When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise."
1631,A philandering tour guide in Europe begins to develop feelings for one of his clients while helping her search for her lost engagement ring.
1632,Three unsuspecting American tourists visit a mysterious mountain shrine in Japan despite uncanny warnings from local inhabitants to stay away.
1633,"When a teenager discovers he's not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges."
1634,"When a teenager discovers he's not really human, he ventures out to a remote island to explore his roots and confronts a series of wild challenges."
1635,"In the near future, with civilization a thing of the past, a man puts his family in peril when he reluctantly lets outsiders into his compound."
1636,"A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad."
1637,"Three men are stunned to find their faces on a poster promoting vasectomies, and must prove to their upset loved ones that they're innocent victims."
1638,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who’s found a new life in a quiet town populated only by women."
1640,An ambitious young law enforcement graduate is thrilled when her idol takes her on as a trainee. But his methods aren't anything like she imagined.
1643,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself."
1645,"Chaos ensues after two orphaned twin brothers raised apart team up with their eccentric, unmarried uncle to find a solution to their romantic woes."
1647,"A devious businessman covets his partner's priceless treasure map, while a related murder case calls into question some biological family ties."
1652,The arrival of an enigmatic struggling musician in Malibu shakes the ground beneath the feet of a teenage girl and her surfer boyfriend.
1653,Returning Pup Star champ Tiny has her Yorkie paws full after an evil rival replaces her with street dog Scrappy during the national competition.
1654,"A grieving mother takes a road trip with her friend to confront the man who, she believes, stole her late son's business idea to get rich."
1659,"In 1975, during the government-declared Emergency, thief Bhawani and his crew plan a daring robbery to reclaim his royal lover's seized treasures."
1663,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet."
1665,Two kids and their pet dog (aka the Ghost Patrol) get a call about an old manor and soon find they are investigating their first real haunted house.
1666,"A reclusive psychologist agrees to treat a patient – whose therapist is missing – at her remote cabin, where the women test each other's boundaries."
1667,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.
1668,"After waking up aboard a derelict spaceship with no memories, the crew of the Raza investigates the mystery of their identities and destination."
1669,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences."
1670,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals."
1671,"A Melbourne obstetrician in her thirties struggles with the increasingly chaotic family, romantic and professional aspects of her life in this drama."
1673,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot."
1675,"In this horror-comedy, a recently married man who wants to bond with his stepson begins to fear that the boy is a demon."
1680,"When amateur ghost hunters visit an abandoned house, their investigation turns into a massacre, leaving questions for a detective and a psychologist."
1681,An American filmmaker and cyclist unwittingly wades into a global scandal when a Russian scientist leaks shocking details of a vast doping conspiracy.
1684,"Armed with popularity tips from her beautiful older sister, precocious Jessica Darling prepares to navigate the treacherous world of seventh grade."
1686,A teenager who gave up her spot in an elite U.S. gymnastics program when her family moved to Australia enters a competition to help a new friend.
1688,"Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their idealized notions of romance."
1689,"Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their idealized notions of romance."
1691,"With his simulated kidnapping business flagging, an entrepreneur jumps at a weekend abduction opportunity – only to find the job isn't what it seems."
1693,"After losing her family in a suspicious car crash, a woman awakens from a 13-year coma determined to expose the truth about the long-ago tragedy."
1698,"Two doctors with opposite approaches to treating patients clash on the job and must learn to trust each other's expertise, allowing love to bloom."
1699,"When his brother becomes involved in a deadly bank robbery, a heartbroken cop vows to track down and retrieve his wayward sibling – dead or alive."
1702,Gay activist Michael Glatze begins a painful journey when he decides to renounce his sexuality for his religion in this drama based on true story.
1703,"After a one-night stand, Holly develops a dangerous obsession with Tyler and transfers to his high school, desperate to keep their ""romance"" alive."
1706,"As boxing's popularity wanes, three fighters at different stages of their career make sacrifices to pursue their dreams of becoming champions."
1711,"In exchange for low rent, a hodgepodge group of 20-something tenants set up residence as property guards in a disused hospital, where hilarity ensues."
1714,"After moving from New York City to a small town in Washington state, an interracial couple and their preteen son struggle to adjust to their new life."
1715,"When a fashion blogger falls for a video game vlogger, their romance goes viral. But separating their virtual life from reality gets complicated."
1718,"To better himself, a spoiled prince temporarily assumes a commoner’s identity. But he soon learns his palace has been gifted to his father’s new wife."
1719,"When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead."
1720,"During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit."
1723,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
1725,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
1726,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
1727,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
1728,"After street smart kid Raees rises to become Gujarat's bootlegging king in the 1980s, he tries to balance his life of crime with helping his people."
1730,"When a proud general is tasked with winning an unpopular war, he takes the challenge head-on, not knowing that hubris may be his own worst enemy."
1736,"When insurance accidentally pays her millions, retired teacher Eva and her pal Maddie head to the Canary Islands for the adventure of their lives."
1739,"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission."
1740,"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission."
1741,"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission."
1742,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard."
1745,Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal who’s disenchanted with his boyfriend.
1746,"After serving a six-year prison sentence, an ex-cop tries to rebuild his life in his hometown, but gets caught up in the fallout from his past."
1749,Teen witch Bibi and horse-loving Tina face trouble when a posh girl flirts with Tina's boyfriend and a crook sets his greedy eyes on a promising foal.
1751,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk."
1753,"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests."
1754,"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests."
1755,"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests."
1757,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off."
1758,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.
1759,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.
1760,A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed.
1761,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader."
1764,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
1765,"After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal."
1767,"Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond."
1768,"Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama."
1771,Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all.
1777,"During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float."
1778,"During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float."
1779,A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love?
1782,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance."
1783,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance."
1786,"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll."
1787,"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll."
1789,"A sexual assault victim, unjustly tried for the attempted murder of her attacker, is defended by a retired lawyer who challenges India's rape culture."
1790,"A sexual assault victim, unjustly tried for the attempted murder of her attacker, is defended by a retired lawyer who challenges India's rape culture."
1794,A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident.
1795,"Lone-wolf vigilante Bill Williamson is back, taking aim at the U.S. government and eluding the pursuit of two FBI agents who are on his trail."
1797,"Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along."
1799,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
1800,"A young Barack Obama forges his identity while dealing with race, divergent cultures and ordinary life as a New York City college student."
1801,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
1802,"This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle."
1805,"This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
1806,"This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
1807,"This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
1810,"Two former high school sweethearts unexpectedly reunite in their old hometown, where they rediscover their magical bond and face a shared regret."
1812,"A college girl romping through New York City in search of cocaine and other highs finds something real to grasp, only to see it potentially slip away."
1813,"A developmentally disabled man obsessed with the Fonz, guns and all things kinky poses a challenge for his arrogant brother when he moves in with him."
1816,Two brothers clash with their half-siblings when a visit home to see their dying mother surfaces old secrets and becomes a fight for survival.
1817,Two brothers clash with their half-siblings when a visit home to see their dying mother surfaces old secrets and becomes a fight for survival.
1820,"When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer."
1821,"When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer."
1822,Four small-town French teens who style themselves after American rappers set out to avenge a classroom insult and end up on a mind-blowing adventure.
1824,"When a ferocious contagion sweeps through Atlanta, authorities impose a precarious quarantine on the city while scrambling to find a cure."
1826,"A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date."
1828,"A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date."
1829,"Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot in this offbeat, comic romp from Christopher Guest."
1831,"They were the boy band to beat until fame tore them apart. Ten years later, five friends and an ex-love reunite and find themselves closer than ever."
1832,"In 1985, when a vessel protesting nuclear testing is sunk in New Zealand, local police fight to prove it was a terrorist plot by their French allies."
1838,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues."
1839,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues."
1840,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues."
1841,"The lives of a budding DJ, his loyal pal, a hopeless romantic, a jaded has-been and a troubled couple intersect at an electronic dance music festival."
1842,"Superstar DJ Steve Aoki reflects on the driving force behind his career: his ambitious father, Benihana founder and perennial daredevil Rocky Aoki."
1845,"Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence."
1846,"Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence."
1847,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries."
1849,"When a middle-aged filmmaker meets an alluring stranger at a party, he's haunted by troubling memories of his past relationships."
1851,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.
1852,"When they lose their passports, a bickering radio team invents phony reports from a combat zone in a ruse that becomes increasingly complicated."
1854,"In Justin's dreams, he and his imaginary friends Olive and Squidgy travel around the world learning about nature and other cultures."
1859,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.
1860,"When his outlaw dad is kidnapped, Tommy “White Knife” Stockburn sets off across the West on a rescue mission with five brothers he never knew he had."
1861,"The pleasant family life of an L.A. attorney is disrupted by the sudden arrival of his brother, who is obsessed with the Charles Manson murders."
1862,"After an ugly divorce, a wealthy but unhappy man trains at a local gym and develops a strange relationship with the owner and a captivating trainer."
1864,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared."
1865,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared."
1866,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
1868,"When a cash-strapped videographer takes a job in a remote mountain town, he finds that the client has some unsettling ideas in mind."
1877,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
1879,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
1880,"Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret."
1881,"Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader."
1882,"Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy."
1883,"Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community."
1884,"Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think."
1885,"In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion."
1887,Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.
1891,"Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical."
1892,A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.
1895,The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.
1896,A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.
1897,"When his girlfriend walks out and leaves him a wreck, a graphic designer – who seemed to have it all – sets out to discover where he went wrong."
1900,"Nina thinks her husband, James, is cheating on her, and she sets out to prove it by calling him and pretending to be another woman."
1901,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter."
1905,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness."
1906,"After losing her mother, a teenage girl bonds with her phone’s artificial intelligence app, a relationship that soon takes a dark and violent turn."
1910,"After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve."
1912,A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.
1913,"Three lifelong friends travel to Acapulco ostensibly so one of them can find his lost love, but the real reason behind the trip holds some surprises."
1916,"When his future sister-in-law is kidnapped by human traffickers, a military veteran joins forces with his brothers and a world-weary cop to rescue her."
1917,"This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet."
1918,"When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community."
1919,"An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival."
1921,"An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival."
1924,"After a magical horse transports her to a fantasy world ruled by an evil general, a brave girl sets out to save the land once and for all."
1926,"Fearless provocation has fueled stand-up comic Nina Geld's career, but a move to LA and a new love take her to new levels of honesty."
1927,"Instead of summoning the spirit of her dearly departed mother, a charming teen accidentally awakens a vengeful witch who wants to destroy her town."
1928,"A horror novelist with a traumatic past returns to her childhood hometown, where she revisits her night terrors and loses sight of reality."
1929,"During a weekend excursion to a secluded ranch, an unwelcome visitor begins picking off the randy admirers of teenage temptress Mandy Lane."
1930,"Never married but always at weddings, a copy editor finally dives into the dating pool but wonders if her love story involves staying single forever."
1931,"The brotherly bond between three childhood friends – one Sikh, one Muslim and one Catholic – is tested by the often comic absurdities of adulthood."
1933,"Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital."
1936,An ex-con is just getting his life back on track when his older brother is released from prison and drags him into the underworld for one final heist.
1942,Rare home videos and interviews with Amy Winehouse's inner circle offer an intimate look at her journey from charismatic teen to troubled star.
1943,"After an assignment in a war zone, a journalist trying to put his life back together is granted an interview with someone claiming to be God."
1946,"When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner who's struggling with traumas of his own."
1949,"While vacationing on picturesque Nantucket, a crafty teenage mystery writer contends with two thieves as she tries to solve a ghostly conundrum."
1951,A tough-as-nails treasure hunter protects a humanitarian doctor as she tries to cure a supernatural disease caused by a mysterious witch.
1954,"This sci-fi thriller suggests that Apollo 17, despite official statements to the contrary, wasn't NASA's last manned mission to the moon."
1956,A group of friends making a web series about their hometown realize it isn’t as boring as they thought when their neighbors start behaving strangely.
1957,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
1958,"In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
1962,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries."
1964,A weekend hike for urbanites Alex and Jenn takes a dangerous turn when they become lost deep in the remote territory of a menacing bear.
1965,"When two would-be robbers accidentally kill a made man, they find themselves on the run from the South Philly Italian mob."
1966,"Haunted by visions of the dead, psychologist Peter returns home to confront a long-ago trauma. But will the trip exorcise or embolden the ghosts?"
1972,A player who uses the internet to facilitate his womanizing ways is tormented when he spurns a persistent woman who won't take no for an answer.
1974,A detective with a license to kill roams the Old West to wrangle Confederate war criminals and meets a pioneer woman who throws his journey off track.
1979,A small but fierce group of resistance fighters engages in a brutal battle to protect their village from an army of Burmese invaders.
1981,"A blend of cultural nuance and mesmerizing techniques adds flavor to this globe-hopping celebration of cooking, tradition and community."
1983,Four friends from a humble technical school compete against the elite students of a prestigious university in a robot-building contest.
1985,"A naïve young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair."
1991,"After having her heart broken by a man who seduced her at a party, a young, ambitious woman concocts a scheme to get revenge."
1992,An engaged fashion editor begins a torrid affair with a female roofer that threatens to turn both of their lives upside down.
1993,"An escaped psychopathic child killer faces off against one of his former victims, who has since become a hard-nosed detective."
1994,"Set in the Grey City, this ""Cities of Love"" installment is a star-studded, 10-story collection of redemptive love, crushing loss and everyday romances."
1995,"A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else."
2001,The alcohol-fueled high jinks of a bachelor party go haywire when the buddies of an ill-fated groom abduct his fiancée's new lover.
2002,Junior high students Jason and Kaylee take action when a greedy Hollywood producer turns Jason's essay into a hit film without giving him credit.
2003,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.
2005,"Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films."
2006,"In an attempt to settle the ""nature vs. nurture"" debate, a scientist couple raises three children to live lives that defy their genetic dispositions."
2007,"Cracking under the demands of children and a philandering, thankless husband, an overworked suburban mother assumes the persona of a ferocious dog."
2008,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost."""
2009,"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos – with mixed results."
2011,"After discovering that their secret military prison is under attack by terrorists, a ragtag group of inmates does their best to neutralize the enemy."
2014,"Dumped over a video he made to amuse his ailing dad, a heartsick Jérémy hatches an elaborate scheme to win back his superhero-loving girlfriend, Lola."
2018,"New NFL star Thad buys his old teammates' beloved frat house, renames it Thadland and throws the raunchiest, most debauched party in school history."
2023,"Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman – a romance his parents oppose."
2025,"After learning they are the sole survivors of an eerie apocalypse, a young American couple on vacation in Iceland ponder their love and the future."
2026,"On the island of Curaçao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme."
2027,"Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds."
2029,A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.
2031,"En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality."
2032,"Single entrepreneur Veronica finally starts to believe in love after meeting sexy Lance, but she soon discovers he's hiding something from her."
2033,"After 12 years in the minors, a struggling baseball player retires, returns home and faces the last person he struck out with – his ex-girlfriend."
2034,Small-town residents mistake an Orson Welles radio broadcast for news about an alien invasion and are emboldened to act as they await an apocalypse.
2038,"When four college friends reunite for a bachelor party, their hunt for cash said to be hidden in Kentucky's backwoods leads to bloodshed and betrayal."
2040,"When their diverse neighborhood is besieged by a mysterious militia, a grad student and an ex-Marine become an unlikely team in a battle for survival."
2041,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
2042,"As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next."
2043,"As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next."
2047,Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.
2051,"Sarah leaves her son in the Philippines to reunite with her husband in London, where she struggles personally and professionally as a care-home worker."
2053,Will Ferrell stars as a Spanish-speaking cowboy in this comedy about a Mexican clan trying to rescue their ranch from greedy creditors.
2055,"When a secretary saves her tycoon boss's life, his family hears wedding bells. Problem is, she's already in love – with his younger brother."
2056,"When a secretive woman breezes into a quiet town, her subdued neighbors get swept up in curiosity over her ethereal presence."
